head,relation,tail
CID10339178,combination,CID130904
CID10339178,combination,CID13109
CID10339178,combination,CID132971
CID10339178,combination,CID135398740
CID10339178,combination,CID135401907
CID10339178,combination,CID135410875
CID10339178,combination,CID135413536
CID10339178,combination,CID135415564
CID10339178,combination,CID13988706
CID10339178,combination,CID1461
CID10339178,combination,CID148121
CID10339178,combination,CID150311
CID10339178,combination,CID157920
CID10339178,combination,CID165580
CID10339178,combination,CID176870
CID10339178,combination,CID176871
CID10339178,combination,CID1935
CID10339178,combination,CID1989
CID10339178,combination,CID2082
CID10339178,combination,CID208898
CID10339178,combination,CID208908
CID10339178,combination,CID2130
CID10339178,combination,CID2141
CID10339178,combination,CID216454
CID10339178,combination,CID2170
CID10339178,combination,CID219078
CID10339178,combination,CID22475
CID10339178,combination,CID2249
CID10339178,combination,CID2284
CID10339178,combination,CID24197464
CID10339178,combination,CID24748204
CID10339178,combination,CID24776445
CID10339178,combination,CID2478
CID10339178,combination,CID24964624
CID10339178,combination,CID2578
CID10339178,combination,CID2662
CID10339178,combination,CID26879
CID10339178,combination,CID2733525
CID10339178,combination,CID2907
CID10339178,combination,CID29327
CID10339178,combination,CID3019
CID10339178,combination,CID3034034
CID10339178,combination,CID3038
CID10339178,combination,CID3055
CID10339178,combination,CID3062316
CID10339178,combination,CID3117
CID10339178,combination,CID3331
CID10339178,combination,CID3373
CID10339178,combination,CID3397
CID10339178,combination,CID3406
CID10339178,combination,CID3519
CID10339178,combination,CID356653
CID10339178,combination,CID3690
CID10339178,combination,CID37393
CID10339178,combination,CID3883
CID10339178,combination,CID3955
CID10339178,combination,CID4032
CID10339178,combination,CID4037
CID10339178,combination,CID4054
CID10339178,combination,CID4114
CID10339178,combination,CID41684
CID10339178,combination,CID4173
CID10339178,combination,CID4212
CID10339178,combination,CID439693
CID10339178,combination,CID443939
CID10339178,combination,CID44403842
CID10339178,combination,CID444795
CID10339178,combination,CID445643
CID10339178,combination,CID446987
CID10339178,combination,CID4477
CID10339178,combination,CID449381
CID10339178,combination,CID4513
CID10339178,combination,CID46239015
CID10339178,combination,CID4674
CID10339178,combination,CID5284583
CID10339178,combination,CID5291
CID10339178,combination,CID5310966
CID10339178,combination,CID5311
CID10339178,combination,CID5311068
CID10339178,combination,CID5323714
CID10339178,combination,CID5329102
CID10339178,combination,CID5342
CID10339178,combination,CID5358
CID10339178,combination,CID5360373
CID10339178,combination,CID5360515
CID10339178,combination,CID5388983
CID10339178,combination,CID5426
CID10339178,combination,CID5430
CID10339178,combination,CID5462501
CID10339178,combination,CID54675769
CID10339178,combination,CID54680692
CID10339178,combination,CID54684141
CID10339178,combination,CID5493444
CID10339178,combination,CID5530
CID10339178,combination,CID5546
CID10339178,combination,CID5831
CID10339178,combination,CID5833
CID10339178,combination,CID59691338
CID10339178,combination,CID5991
CID10339178,combination,CID6013
CID10339178,combination,CID6018
CID10339178,combination,CID60198
CID10339178,combination,CID60648
CID10339178,combination,CID60699
CID10339178,combination,CID60753
CID10339178,combination,CID60795
CID10339178,combination,CID60838
CID10339178,combination,CID6100
CID10339178,combination,CID6321424
CID10339178,combination,CID6337614
CID10339178,combination,CID636362
CID10339178,combination,CID64139
CID10339178,combination,CID656583
CID10339178,combination,CID68617
CID10339178,combination,CID68740
CID10339178,combination,CID6914273
CID10339178,combination,CID6918296
CID10339178,combination,CID71384
CID10339178,combination,CID7550
CID10339178,combination,CID91649
CID10339178,combination,CID92722
CID10339178,combination,CID9811704
CID10339178,combination,CID9930913
CID10341154,combination,CID11347535
CID10367662,combination,CID11347535
CID10437018,combination,CID11347535
CID10458325,combination,CID11347535
CID10461508,combination,CID24821094
CID104741,combination,CID11525740
CID104741,combination,CID123608
CID104741,combination,CID132971
CID104741,combination,CID135401907
CID104741,combination,CID135410875
CID104741,combination,CID13988706
CID104741,combination,CID148121
CID104741,combination,CID176870
CID104741,combination,CID176871
CID104741,combination,CID208908
CID104741,combination,CID2141
CID104741,combination,CID24197464
CID104741,combination,CID24776445
CID104741,combination,CID2478
CID104741,combination,CID2578
CID104741,combination,CID2662
CID104741,combination,CID2733525
CID104741,combination,CID2907
CID104741,combination,CID29327
CID104741,combination,CID2942
CID104741,combination,CID3062316
CID104741,combination,CID356653
CID104741,combination,CID3690
CID104741,combination,CID4114
CID104741,combination,CID4212
CID104741,combination,CID443939
CID104741,combination,CID44403842
CID104741,combination,CID444795
CID104741,combination,CID5291
CID104741,combination,CID5311
CID104741,combination,CID5329102
CID104741,combination,CID5360373
CID104741,combination,CID5388983
CID104741,combination,CID5426
CID104741,combination,CID60198
CID104741,combination,CID60699
CID104741,combination,CID636362
CID104741,combination,CID68740
CID104741,combination,CID71384
CID104741,combination,CID9854073
CID10475633,combination,CID11957577
CID10475633,combination,CID2377
CID10475633,combination,CID29112
CID10475633,combination,CID3034034
CID10475633,combination,CID4055
CID10475633,combination,CID443390
CID10475633,combination,CID44469321
CID10475633,combination,CID448013
CID10475633,combination,CID49777740
CID10475633,combination,CID4993
CID10475633,combination,CID53494972
CID10475633,combination,CID5564
CID10475633,combination,CID6321424
CID10475633,combination,CID63224
CID10475633,combination,CID72188603
CID10475633,combination,CID8980
CID10475633,combination,CID92727
CID10475633,combination,CID969516
CID10475633,combination,CID9914412
CID104794,combination,CID11347535
CID107706,combination,CID11347535
CID107751,combination,CID11347535
CID107771,combination,CID11538455
CID107771,combination,CID163751
CID107771,combination,CID17134
CID107771,combination,CID23582824
CID107771,combination,CID25167777
CID107771,combination,CID3114
CID107771,combination,CID34312
CID107771,combination,CID37393
CID107771,combination,CID3784
CID107771,combination,CID39186
CID107771,combination,CID3932
CID107771,combination,CID4008
CID107771,combination,CID41022
CID107771,combination,CID441325
CID107771,combination,CID443390
CID107771,combination,CID44469321
CID107771,combination,CID448013
CID107771,combination,CID4746
CID107771,combination,CID4993
CID107771,combination,CID5311
CID107771,combination,CID53248764
CID107771,combination,CID53494972
CID107771,combination,CID6321424
CID107771,combination,CID63224
CID107771,combination,CID644274
CID107771,combination,CID6917864
CID107771,combination,CID6918446
CID107771,combination,CID72092
CID107771,combination,CID92178
CID107778,combination,CID11347535
CID107935,combination,CID24821094
CID107969,combination,CID11347535
CID107969,combination,CID24785538
CID107969,combination,CID3062316
CID107969,combination,CID446378
CID107969,combination,CID4477
CID107969,combination,CID68546
CID107970,combination,CID11524144
CID107970,combination,CID16667669
CID107970,combination,CID24785538
CID107970,combination,CID24978538
CID107970,combination,CID2733525
CID107970,combination,CID3062316
CID107970,combination,CID38911
CID107970,combination,CID446378
CID107970,combination,CID4477
CID107970,combination,CID57519554
CID107970,combination,CID6604870
CID107985,combination,CID11347535
CID107985,combination,CID135564985
CID107985,combination,CID24821094
CID107985,combination,CID3062316
CID107985,combination,CID3330
CID107985,combination,CID446378
CID107985,combination,CID46220502
CID107985,combination,CID52947716
CID107985,combination,CID9852573
CID107985,combination,CID9949641
CID108150,combination,CID11347535
CID108187,combination,CID11347535
CID11057,combination,CID11347535
CID11057,combination,CID11538455
CID11057,combination,CID122262
CID11057,combination,CID17134
CID11057,combination,CID23582824
CID11057,combination,CID25167777
CID11057,combination,CID29112
CID11057,combination,CID37393
CID11057,combination,CID44469321
CID11057,combination,CID447077
CID11057,combination,CID53494972
CID11057,combination,CID63224
CID11057,combination,CID6917864
CID11057,combination,CID9852573
CID11092,combination,CID11347535
CID11092,combination,CID16667669
CID11092,combination,CID22833280
CID11092,combination,CID24785538
CID11092,combination,CID446378
CID11092,combination,CID54900
CID11092,combination,CID6604870
CID11092,combination,CID73265318
CID11159621,combination,CID11347535
CID11159621,combination,CID24821094
CID11201705,combination,CID24821094
CID11222830,combination,CID24821094
CID11228183,combination,CID11347535
CID11242315,combination,CID11347535
CID11243536,combination,CID11347535
CID11243969,combination,CID11876263
CID11243969,combination,CID122108
CID11243969,combination,CID130904
CID11243969,combination,CID13109
CID11243969,combination,CID135398740
CID11243969,combination,CID135401907
CID11243969,combination,CID135413536
CID11243969,combination,CID135415564
CID11243969,combination,CID150311
CID11243969,combination,CID157920
CID11243969,combination,CID16667669
CID11243969,combination,CID1935
CID11243969,combination,CID1989
CID11243969,combination,CID2082
CID11243969,combination,CID208898
CID11243969,combination,CID2130
CID11243969,combination,CID2170
CID11243969,combination,CID219078
CID11243969,combination,CID22475
CID11243969,combination,CID2249
CID11243969,combination,CID2284
CID11243969,combination,CID2478
CID11243969,combination,CID2578
CID11243969,combination,CID3019
CID11243969,combination,CID3038
CID11243969,combination,CID3055
CID11243969,combination,CID3117
CID11243969,combination,CID3331
CID11243969,combination,CID3397
CID11243969,combination,CID3406
CID11243969,combination,CID3519
CID11243969,combination,CID37393
CID11243969,combination,CID3883
CID11243969,combination,CID3955
CID11243969,combination,CID4032
CID11243969,combination,CID4037
CID11243969,combination,CID41684
CID11243969,combination,CID4212
CID11243969,combination,CID439693
CID11243969,combination,CID445643
CID11243969,combination,CID4477
CID11243969,combination,CID449381
CID11243969,combination,CID4513
CID11243969,combination,CID4674
CID11243969,combination,CID4912
CID11243969,combination,CID517546
CID11243969,combination,CID5284583
CID11243969,combination,CID5291
CID11243969,combination,CID5311
CID11243969,combination,CID5323714
CID11243969,combination,CID5329102
CID11243969,combination,CID5342
CID11243969,combination,CID5358
CID11243969,combination,CID5360515
CID11243969,combination,CID5426
CID11243969,combination,CID5430
CID11243969,combination,CID5462501
CID11243969,combination,CID54675769
CID11243969,combination,CID54680692
CID11243969,combination,CID54684141
CID11243969,combination,CID5493444
CID11243969,combination,CID5530
CID11243969,combination,CID5831
CID11243969,combination,CID5833
CID11243969,combination,CID6013
CID11243969,combination,CID6018
CID11243969,combination,CID60753
CID11243969,combination,CID60795
CID11243969,combination,CID60838
CID11243969,combination,CID6100
CID11243969,combination,CID6321424
CID11243969,combination,CID6337614
CID11243969,combination,CID64139
CID11243969,combination,CID656583
CID11243969,combination,CID68617
CID11243969,combination,CID6918296
CID11243969,combination,CID7550
CID11243969,combination,CID92722
CID11243969,combination,CID9811704
CID11271909,combination,CID24821094
CID11273,combination,CID11347535
CID11273,combination,CID24821094
CID11285001,combination,CID11347535
CID11314340,combination,CID11347535
CID11347535,combination,CID11387605
CID11347535,combination,CID11398092
CID11347535,combination,CID11399764
CID11347535,combination,CID11485656
CID11347535,combination,CID11488110
CID11347535,combination,CID11488320
CID11347535,combination,CID11491176
CID11347535,combination,CID11497983
CID11347535,combination,CID11501591
CID11347535,combination,CID11519397
CID11347535,combination,CID11520894
CID11347535,combination,CID11538455
CID11347535,combination,CID11556427
CID11347535,combination,CID11617559
CID11347535,combination,CID11634725
CID11347535,combination,CID11671467
CID11347535,combination,CID11676786
CID11347535,combination,CID11685945
CID11347535,combination,CID117072549
CID11347535,combination,CID11717001
CID11347535,combination,CID11719003
CID11347535,combination,CID11749858
CID11347535,combination,CID11754200
CID11347535,combination,CID117636625
CID11347535,combination,CID117817422
CID11347535,combination,CID11784504
CID11347535,combination,CID118025540
CID11347535,combination,CID118196485
CID11347535,combination,CID118598754
CID11347535,combination,CID118693658
CID11347535,combination,CID118957930
CID11347535,combination,CID118986645
CID11347535,combination,CID119192
CID11347535,combination,CID11950170
CID11347535,combination,CID11955716
CID11347535,combination,CID11963194
CID11347535,combination,CID11973736
CID11347535,combination,CID11983295
CID11347535,combination,CID11984561
CID11347535,combination,CID121232405
CID11347535,combination,CID121271792
CID11347535,combination,CID121473004
CID11347535,combination,CID121487936
CID11347535,combination,CID121513855
CID11347535,combination,CID122197581
CID11347535,combination,CID12387471
CID11347535,combination,CID123964
CID11347535,combination,CID12620
CID11347535,combination,CID1271002
CID11347535,combination,CID129010078
CID11347535,combination,CID129869
CID11347535,combination,CID131955127
CID11347535,combination,CID133053818
CID11347535,combination,CID134828256
CID11347535,combination,CID135398495
CID11347535,combination,CID135398499
CID11347535,combination,CID135399748
CID11347535,combination,CID135410875
CID11347535,combination,CID135413536
CID11347535,combination,CID135413539
CID11347535,combination,CID135415564
CID11347535,combination,CID135418940
CID11347535,combination,CID135421442
CID11347535,combination,CID135564749
CID11347535,combination,CID135564985
CID11347535,combination,CID135565596
CID11347535,combination,CID135565635
CID11347535,combination,CID135565674
CID11347535,combination,CID135565981
CID11347535,combination,CID135567102
CID11347535,combination,CID1357397
CID11347535,combination,CID1361334
CID11347535,combination,CID1383884
CID11347535,combination,CID14240392
CID11347535,combination,CID148177
CID11347535,combination,CID148195
CID11347535,combination,CID150311
CID11347535,combination,CID151118
CID11347535,combination,CID151194
CID11347535,combination,CID153270
CID11347535,combination,CID1548943
CID11347535,combination,CID155815
CID11347535,combination,CID156422
CID11347535,combination,CID158797
CID11347535,combination,CID159269
CID11347535,combination,CID15951529
CID11347535,combination,CID15953870
CID11347535,combination,CID160254
CID11347535,combination,CID16038120
CID11347535,combination,CID16038374
CID11347535,combination,CID16041424
CID11347535,combination,CID16049404
CID11347535,combination,CID16052038
CID11347535,combination,CID16086114
CID11347535,combination,CID16095342
CID11347535,combination,CID16118392
CID11347535,combination,CID16123056
CID11347535,combination,CID164676
CID11347535,combination,CID16533
CID11347535,combination,CID16654980
CID11347535,combination,CID16667669
CID11347535,combination,CID16681698
CID11347535,combination,CID16736529
CID11347535,combination,CID16736978
CID11347535,combination,CID16739650
CID11347535,combination,CID16742063
CID11347535,combination,CID17134
CID11347535,combination,CID177865
CID11347535,combination,CID188914
CID11347535,combination,CID19212
CID11347535,combination,CID196970
CID11347535,combination,CID198693
CID11347535,combination,CID20058
CID11347535,combination,CID20279
CID11347535,combination,CID20635522
CID11347535,combination,CID208908
CID11347535,combination,CID213040
CID11347535,combination,CID216468
CID11347535,combination,CID2179
CID11347535,combination,CID22291652
CID11347535,combination,CID22508903
CID11347535,combination,CID229455
CID11347535,combination,CID23009
CID11347535,combination,CID23063810
CID11347535,combination,CID23116321
CID11347535,combination,CID23662354
CID11347535,combination,CID23711819
CID11347535,combination,CID24360
CID11347535,combination,CID24756910
CID11347535,combination,CID24770514
CID11347535,combination,CID24771867
CID11347535,combination,CID24772860
CID11347535,combination,CID24775005
CID11347535,combination,CID24776050
CID11347535,combination,CID24779724
CID11347535,combination,CID24779775
CID11347535,combination,CID2478
CID11347535,combination,CID24780598
CID11347535,combination,CID24785538
CID11347535,combination,CID24800541
CID11347535,combination,CID24812758
CID11347535,combination,CID24826799
CID11347535,combination,CID24853505
CID11347535,combination,CID24857286
CID11347535,combination,CID24857323
CID11347535,combination,CID24879368
CID11347535,combination,CID24889392
CID11347535,combination,CID24906275
CID11347535,combination,CID24951314
CID11347535,combination,CID24967599
CID11347535,combination,CID24978538
CID11347535,combination,CID24995524
CID11347535,combination,CID25019940
CID11347535,combination,CID25023738
CID11347535,combination,CID25027363
CID11347535,combination,CID25050
CID11347535,combination,CID25062766
CID11347535,combination,CID25073775
CID11347535,combination,CID25109292
CID11347535,combination,CID25109985
CID11347535,combination,CID25114442
CID11347535,combination,CID25124816
CID11347535,combination,CID25127713
CID11347535,combination,CID25134521
CID11347535,combination,CID25141092
CID11347535,combination,CID25151352
CID11347535,combination,CID25167017
CID11347535,combination,CID25167777
CID11347535,combination,CID25199517
CID11347535,combination,CID25207689
CID11347535,combination,CID25227847
CID11347535,combination,CID25262792
CID11347535,combination,CID2536
CID11347535,combination,CID2577
CID11347535,combination,CID259846
CID11347535,combination,CID265237
CID11347535,combination,CID2725002
CID11347535,combination,CID2746
CID11347535,combination,CID2828334
CID11347535,combination,CID29243
CID11347535,combination,CID2950007
CID11347535,combination,CID3009355
CID11347535,combination,CID3025986
CID11347535,combination,CID3037209
CID11347535,combination,CID3038517
CID11347535,combination,CID3038525
CID11347535,combination,CID3062316
CID11347535,combination,CID31553
CID11347535,combination,CID3324
CID11347535,combination,CID3330
CID11347535,combination,CID358177
CID11347535,combination,CID37392
CID11347535,combination,CID37393
CID11347535,combination,CID3883
CID11347535,combination,CID405012
CID11347535,combination,CID4114
CID11347535,combination,CID4170
CID11347535,combination,CID4212
CID11347535,combination,CID4216
CID11347535,combination,CID4248455
CID11347535,combination,CID4259181
CID11347535,combination,CID42628503
CID11347535,combination,CID439280
CID11347535,combination,CID439533
CID11347535,combination,CID439647
CID11347535,combination,CID439693
CID11347535,combination,CID44156921
CID11347535,combination,CID44182398
CID11347535,combination,CID44237094
CID11347535,combination,CID44240850
CID11347535,combination,CID442514
CID11347535,combination,CID44251605
CID11347535,combination,CID443354
CID11347535,combination,CID44462758
CID11347535,combination,CID444679
CID11347535,combination,CID44475014
CID11347535,combination,CID444795
CID11347535,combination,CID44480399
CID11347535,combination,CID44543605
CID11347535,combination,CID44545852
CID11347535,combination,CID44603533
CID11347535,combination,CID44607530
CID11347535,combination,CID446378
CID11347535,combination,CID4477
CID11347535,combination,CID447865
CID11347535,combination,CID447905
CID11347535,combination,CID448013
CID11347535,combination,CID44814409
CID11347535,combination,CID448545
CID11347535,combination,CID448601
CID11347535,combination,CID449054
CID11347535,combination,CID4566
CID11347535,combination,CID459617
CID11347535,combination,CID460612
CID11347535,combination,CID46184986
CID11347535,combination,CID46213929
CID11347535,combination,CID46216556
CID11347535,combination,CID46216796
CID11347535,combination,CID46220502
CID11347535,combination,CID46224516
CID11347535,combination,CID46241268
CID11347535,combination,CID46245047
CID11347535,combination,CID46742353
CID11347535,combination,CID4679
CID11347535,combination,CID46832368
CID11347535,combination,CID46843772
CID11347535,combination,CID46843906
CID11347535,combination,CID46866705
CID11347535,combination,CID46870258
CID11347535,combination,CID46885626
CID11347535,combination,CID46909588
CID11347535,combination,CID46911228
CID11347535,combination,CID46911863
CID11347535,combination,CID46927888
CID11347535,combination,CID46930992
CID11347535,combination,CID46943432
CID11347535,combination,CID476861
CID11347535,combination,CID479503
CID11347535,combination,CID4823
CID11347535,combination,CID483477
CID11347535,combination,CID4912
CID11347535,combination,CID4922
CID11347535,combination,CID49841217
CID11347535,combination,CID49843531
CID11347535,combination,CID49855250
CID11347535,combination,CID50905713
CID11347535,combination,CID50922675
CID11347535,combination,CID51001932
CID11347535,combination,CID51003603
CID11347535,combination,CID51033720
CID11347535,combination,CID51346455
CID11347535,combination,CID51358113
CID11347535,combination,CID5163
CID11347535,combination,CID5277135
CID11347535,combination,CID5280360
CID11347535,combination,CID5280373
CID11347535,combination,CID5280723
CID11347535,combination,CID5280863
CID11347535,combination,CID5281033
CID11347535,combination,CID5281304
CID11347535,combination,CID5281613
CID11347535,combination,CID5281884
CID11347535,combination,CID5281915
CID11347535,combination,CID5282230
CID11347535,combination,CID5283820
CID11347535,combination,CID5284329
CID11347535,combination,CID5284447
CID11347535,combination,CID52912222
CID11347535,combination,CID52938427
CID11347535,combination,CID5311
CID11347535,combination,CID5321010
CID11347535,combination,CID5321018
CID11347535,combination,CID5327916
CID11347535,combination,CID5329098
CID11347535,combination,CID5329099
CID11347535,combination,CID53315868
CID11347535,combination,CID53315882
CID11347535,combination,CID53322923
CID11347535,combination,CID53340426
CID11347535,combination,CID53340666
CID11347535,combination,CID53344620
CID11347535,combination,CID53355503
CID11347535,combination,CID53396311
CID11347535,combination,CID53469059
CID11347535,combination,CID53469448
CID11347535,combination,CID5353852
CID11347535,combination,CID5426
CID11347535,combination,CID54576693
CID11347535,combination,CID54675783
CID11347535,combination,CID54677946
CID11347535,combination,CID54678924
CID11347535,combination,CID54682876
CID11347535,combination,CID54684141
CID11347535,combination,CID54685215
CID11347535,combination,CID54704426
CID11347535,combination,CID5478883
CID11347535,combination,CID5478927
CID11347535,combination,CID56645961
CID11347535,combination,CID5684
CID11347535,combination,CID56843850
CID11347535,combination,CID56844015
CID11347535,combination,CID56846691
CID11347535,combination,CID56846693
CID11347535,combination,CID56965901
CID11347535,combination,CID56968072
CID11347535,combination,CID56973724
CID11347535,combination,CID57030
CID11347535,combination,CID5730
CID11347535,combination,CID57336745
CID11347535,combination,CID57345410
CID11347535,combination,CID57345941
CID11347535,combination,CID57379345
CID11347535,combination,CID57381425
CID11347535,combination,CID57519505
CID11347535,combination,CID57519544
CID11347535,combination,CID57519550
CID11347535,combination,CID57519748
CID11347535,combination,CID5754
CID11347535,combination,CID58298318
CID11347535,combination,CID58299817
CID11347535,combination,CID58507717
CID11347535,combination,CID5924208
CID11347535,combination,CID59422203
CID11347535,combination,CID59437537
CID11347535,combination,CID59604787
CID11347535,combination,CID59634741
CID11347535,combination,CID60147023
CID11347535,combination,CID60164
CID11347535,combination,CID60167849
CID11347535,combination,CID60198
CID11347535,combination,CID60202647
CID11347535,combination,CID6032
CID11347535,combination,CID60652
CID11347535,combination,CID60795
CID11347535,combination,CID60803
CID11347535,combination,CID60825
CID11347535,combination,CID636362
CID11347535,combination,CID636375
CID11347535,combination,CID6436208
CID11347535,combination,CID6445533
CID11347535,combination,CID6450819
CID11347535,combination,CID64713
CID11347535,combination,CID64945
CID11347535,combination,CID65014
CID11347535,combination,CID6505803
CID11347535,combination,CID65411
CID11347535,combination,CID656954
CID11347535,combination,CID6604561
CID11347535,combination,CID66577038
CID11347535,combination,CID66598080
CID11347535,combination,CID67469084
CID11347535,combination,CID6758
CID11347535,combination,CID68107965
CID11347535,combination,CID6918132
CID11347535,combination,CID6918182
CID11347535,combination,CID6918289
CID11347535,combination,CID6918296
CID11347535,combination,CID6918446
CID11347535,combination,CID6918493
CID11347535,combination,CID6918638
CID11347535,combination,CID6918788
CID11347535,combination,CID6918848
CID11347535,combination,CID70004430
CID11347535,combination,CID70676303
CID11347535,combination,CID70679466
CID11347535,combination,CID70687193
CID11347535,combination,CID70798655
CID11347535,combination,CID70983932
CID11347535,combination,CID70983934
CID11347535,combination,CID71291068
CID11347535,combination,CID71478
CID11347535,combination,CID71481097
CID11347535,combination,CID71494949
CID11347535,combination,CID71496458
CID11347535,combination,CID71587153
CID11347535,combination,CID71599640
CID11347535,combination,CID71600087
CID11347535,combination,CID71604307
CID11347535,combination,CID71721540
CID11347535,combination,CID71731823
CID11347535,combination,CID71811910
CID11347535,combination,CID72200024
CID11347535,combination,CID72271
CID11347535,combination,CID72435
CID11347535,combination,CID72547474
CID11347535,combination,CID72709209
CID11347535,combination,CID72734520
CID11347535,combination,CID73265200
