mode,split,drug1_id,drug2_id,head,relation,tail
warm,val,17,3140,CID400633,combination,CID452548
warm,val,17,3369,CID400633,combination,CID5388983
warm,val,17,3371,CID249332,combination,CID400633
warm,val,20,1992,CID11347535,combination,CID405012
warm,val,26,3138,CID1271002,combination,CID5394
warm,val,27,2539,CID2836600,combination,CID6918837
warm,val,28,214,CID24978538,combination,CID515328
warm,val,28,709,CID11556711,combination,CID515328
warm,val,28,1083,CID11442891,combination,CID515328
warm,val,28,1934,CID24964624,combination,CID515328
warm,val,28,1942,CID24958200,combination,CID515328
warm,val,28,2470,CID44195571,combination,CID515328
warm,val,28,2871,CID11717641,combination,CID515328
warm,val,28,2874,CID515328,combination,CID57441923
warm,val,28,3370,CID515328,combination,CID5978
warm,val,29,2539,CID46215462,combination,CID6918837
warm,val,32,2539,CID44156921,combination,CID6918837
warm,val,34,2819,CID25093235,combination,CID25126798
warm,val,37,157,CID46898058,combination,CID5351307
warm,val,37,608,CID400769,combination,CID46898058
warm,val,37,785,CID46898058,combination,CID73265233
warm,val,37,833,CID46898058,combination,CID66646767
warm,val,37,1855,CID46898058,combination,CID6917907
warm,val,37,2470,CID44195571,combination,CID46898058
warm,val,37,2819,CID25126798,combination,CID46898058
warm,val,37,3379,CID46898058,combination,CID5362420
warm,val,45,1008,CID20279,combination,CID72686
warm,val,45,1123,CID3062316,combination,CID72686
warm,val,45,1245,CID4261,combination,CID72686
warm,val,45,1401,CID72686,combination,CID9910986
warm,val,45,1462,CID17755052,combination,CID72686
warm,val,45,1645,CID24821094,combination,CID72686
warm,val,45,2129,CID72686,combination,CID73265318
warm,val,45,2130,CID16757846,combination,CID72686
warm,val,45,2458,CID72686,combination,CID9826528
warm,val,45,3114,CID2733526,combination,CID72686
warm,val,48,1645,CID24821094,combination,CID44599690
warm,val,48,2539,CID44599690,combination,CID6918837
warm,val,49,1992,CID11347535,combination,CID23681107
warm,val,51,2819,CID11381449,combination,CID25126798
warm,val,66,1992,CID11347535,combination,CID65014
warm,val,70,1992,CID11347535,combination,CID644215
warm,val,72,1992,CID11347535,combination,CID6505803
warm,val,72,3138,CID5394,combination,CID6505803
warm,val,73,3138,CID5394,combination,CID9852573
warm,val,76,1674,CID24821094,combination,CID3003565
warm,val,78,158,CID10317566,combination,CID11598628
warm,val,80,1992,CID11347535,combination,CID5327916
warm,val,83,1992,CID11347535,combination,CID23063810
warm,val,85,109,CID135398661,combination,CID657237
warm,val,85,738,CID657237,combination,CID9820526
warm,val,85,2514,CID24826799,combination,CID657237
warm,val,86,2557,CID6445562,combination,CID8975
warm,val,87,318,CID25262965,combination,CID66414
warm,val,87,1574,CID53494972,combination,CID66414
warm,val,87,2290,CID24978538,combination,CID66414
warm,val,87,2592,CID66414,combination,CID72435
warm,val,87,2801,CID5352062,combination,CID66414
warm,val,92,158,CID11598628,combination,CID3549980
warm,val,94,785,CID148198,combination,CID73265233
warm,val,94,821,CID148198,combination,CID73265223
warm,val,94,1075,CID148198,combination,CID6175
warm,val,94,1083,CID11442891,combination,CID148198
warm,val,94,1217,CID148198,combination,CID31703
warm,val,94,2039,CID126941,combination,CID148198
warm,val,94,2378,CID148198,combination,CID52947716
warm,val,94,2874,CID148198,combination,CID57441923
warm,val,94,2878,CID148198,combination,CID22833280
warm,val,94,3370,CID148198,combination,CID5978
warm,val,100,2539,CID6918837,combination,CID9804433
warm,val,105,381,CID5493444,combination,CID65725
warm,val,105,457,CID135413536,combination,CID65725
warm,val,105,475,CID163091,combination,CID65725
warm,val,105,491,CID16667669,combination,CID65725
warm,val,105,952,CID25137844,combination,CID65725
warm,val,105,958,CID2708,combination,CID65725
warm,val,105,973,CID2733,combination,CID65725
warm,val,105,1001,CID62886,combination,CID65725
warm,val,105,1062,CID65725,combination,CID9049
warm,val,105,1152,CID5311068,combination,CID65725
warm,val,105,1171,CID441207,combination,CID65725
warm,val,105,1190,CID3055,combination,CID65725
warm,val,105,1221,CID208898,combination,CID65725
warm,val,105,1229,CID65725,combination,CID6918296
warm,val,105,1290,CID3229,combination,CID65725
warm,val,105,1333,CID5991,combination,CID65725
warm,val,105,1432,CID5324346,combination,CID65725
warm,val,105,1636,CID3652,combination,CID65725
warm,val,105,1679,CID60753,combination,CID65725
warm,val,105,1851,CID3899,combination,CID65725
warm,val,105,2022,CID4060,combination,CID65725
warm,val,105,2027,CID65725,combination,CID667490
warm,val,105,2033,CID15459,combination,CID65725
warm,val,105,2034,CID4091,combination,CID65725
warm,val,105,2065,CID51634,combination,CID65725
warm,val,105,2068,CID4197,combination,CID65725
warm,val,105,2260,CID5284592,combination,CID65725
warm,val,105,2379,CID158781,combination,CID65725
warm,val,105,2397,CID65028,combination,CID65725
warm,val,105,2536,CID4674,combination,CID65725
warm,val,105,2544,CID165580,combination,CID65725
warm,val,105,2600,CID55329,combination,CID65725
warm,val,105,2673,CID6178111,combination,CID65725
warm,val,105,2678,CID65725,combination,CID657298
warm,val,105,2692,CID65725,combination,CID7550
warm,val,105,2722,CID122108,combination,CID65725
warm,val,105,2964,CID135398744,combination,CID65725
warm,val,105,3114,CID2733526,combination,CID65725
warm,val,105,3166,CID5426,combination,CID65725
warm,val,105,3178,CID60648,combination,CID65725
warm,val,105,3236,CID5530,combination,CID65725
warm,val,105,3348,CID5310966,combination,CID65725
warm,val,106,2539,CID16216349,combination,CID6918837
warm,val,108,454,CID10173277,combination,CID358177
warm,val,108,1992,CID11347535,combination,CID358177
warm,val,108,2383,CID285033,combination,CID358177
warm,val,108,3227,CID3005572,combination,CID358177
warm,val,109,271,CID135398661,combination,CID24872560
warm,val,109,468,CID135398661,combination,CID68911
warm,val,109,667,CID135398661,combination,CID71587153
warm,val,109,1013,CID135398661,combination,CID446598
warm,val,109,1496,CID135398661,combination,CID25167777
warm,val,109,1855,CID135398661,combination,CID6917907
warm,val,109,2092,CID135398661,combination,CID23667299
warm,val,109,2219,CID135398661,combination,CID44469321
warm,val,109,2317,CID135398661,combination,CID644241
warm,val,109,3082,CID135398661,combination,CID49836027
warm,val,109,3138,CID135398661,combination,CID5394
warm,val,109,3473,CID135398661,combination,CID6436223
warm,val,111,2539,CID6918837,combination,CID9950176
warm,val,115,214,CID1069686,combination,CID24978538
warm,val,115,2539,CID1069686,combination,CID6918837
warm,val,118,259,CID13988706,combination,CID454216
warm,val,118,260,CID13988706,combination,CID5284616
warm,val,118,329,CID132971,combination,CID13988706
warm,val,118,499,CID13988706,combination,CID6450551
warm,val,118,922,CID13988706,combination,CID2578
warm,val,118,1125,CID13988706,combination,CID62770
warm,val,118,1348,CID13988706,combination,CID60198
warm,val,118,1689,CID13988706,combination,CID3690
warm,val,118,1857,CID13988706,combination,CID3902
warm,val,118,2040,CID13988706,combination,CID4114
warm,val,118,2227,CID13988706,combination,CID451668
warm,val,118,2228,CID13988706,combination,CID36462
warm,val,118,2317,CID13988706,combination,CID644241
warm,val,118,2529,CID13988706,combination,CID36314
warm,val,118,2558,CID135410875,combination,CID13988706
warm,val,118,2996,CID13988706,combination,CID216239
warm,val,118,3115,CID13988706,combination,CID2733525
warm,val,118,3140,CID13988706,combination,CID452548
warm,val,118,3176,CID13988706,combination,CID5453
warm,val,118,3247,CID13988706,combination,CID5799
warm,val,118,3377,CID13988706,combination,CID24776445
warm,val,122,2819,CID14825856,combination,CID25126798
warm,val,123,139,CID3385,combination,CID4649
warm,val,123,336,CID4649,combination,CID9811704
warm,val,123,343,CID1986,combination,CID4649
warm,val,123,370,CID2082,combination,CID4649
warm,val,123,512,CID447043,combination,CID4649
warm,val,123,600,CID2284,combination,CID4649
warm,val,123,698,CID2478,combination,CID4649
warm,val,123,949,CID446156,combination,CID4649
warm,val,123,1004,CID2771,combination,CID4649
warm,val,123,1152,CID4649,combination,CID5311068
warm,val,123,1171,CID441207,combination,CID4649
warm,val,123,1174,CID10531,combination,CID4649
warm,val,123,1195,CID3117,combination,CID4649
warm,val,123,1217,CID31703,combination,CID4649
warm,val,123,1442,CID446987,combination,CID4649
warm,val,123,1556,CID135398740,combination,CID4649
warm,val,123,1561,CID123631,combination,CID4649
warm,val,123,1597,CID38521,combination,CID4649
warm,val,123,1621,CID37393,combination,CID4649
warm,val,123,1638,CID4649,combination,CID91649
warm,val,123,1693,CID4649,combination,CID5311181
warm,val,123,1726,CID3767,combination,CID4649
warm,val,123,1881,CID13520,combination,CID4649
warm,val,123,2018,CID4054,combination,CID4649
warm,val,123,2081,CID4211,combination,CID4649
warm,val,123,2270,CID4649,combination,CID5360515
warm,val,123,2379,CID158781,combination,CID4649
warm,val,123,2535,CID4649,combination,CID6337614
warm,val,123,2543,CID4649,combination,CID4688
warm,val,123,2580,CID4649,combination,CID6839
warm,val,123,2663,CID4649,combination,CID4911
warm,val,123,2692,CID4649,combination,CID7550
warm,val,123,2958,CID4649,combination,CID68617
warm,val,123,3003,CID4649,combination,CID5833
warm,val,123,3138,CID4649,combination,CID5394
warm,val,123,3144,CID4649,combination,CID5401
warm,val,123,3234,CID4649,combination,CID5526
warm,val,123,3242,CID4649,combination,CID5546
warm,val,123,3248,CID4649,combination,CID5566
warm,val,123,3253,CID4649,combination,CID656583
warm,val,123,3353,CID39764,combination,CID4649
warm,val,131,157,CID5351307,combination,CID9806229
warm,val,131,565,CID73265272,combination,CID9806229
warm,val,131,709,CID11556711,combination,CID9806229
warm,val,131,1075,CID6175,combination,CID9806229
warm,val,131,1342,CID36462,combination,CID9806229
warm,val,131,1992,CID11347535,combination,CID9806229
warm,val,131,2638,CID148121,combination,CID9806229
warm,val,131,2874,CID57441923,combination,CID9806229
warm,val,131,3370,CID5978,combination,CID9806229
warm,val,133,158,CID11598628,combination,CID9968854
warm,val,135,2819,CID25126798,combination,CID41867
warm,val,138,329,CID132971,combination,CID44403842
warm,val,138,668,CID387447,combination,CID44403842
warm,val,138,772,CID354624,combination,CID44403842
warm,val,138,922,CID2578,combination,CID44403842
warm,val,138,1074,CID44403842,combination,CID6252
warm,val,138,1153,CID44403842,combination,CID71384
warm,val,138,1447,CID104741,combination,CID44403842
warm,val,138,1465,CID356653,combination,CID44403842
warm,val,138,2081,CID4211,combination,CID44403842
warm,val,138,2552,CID11525740,combination,CID44403842
warm,val,138,2740,CID44403842,combination,CID5035
warm,val,138,2996,CID216239,combination,CID44403842
warm,val,138,3176,CID44403842,combination,CID5453
warm,val,138,3240,CID44403842,combination,CID444795
warm,val,138,3466,CID44403842,combination,CID68740
warm,val,139,317,CID11152667,combination,CID3385
warm,val,139,329,CID132971,combination,CID3385
warm,val,139,336,CID3385,combination,CID9811704
warm,val,139,354,CID3385,combination,CID457193
warm,val,139,390,CID3385,combination,CID56649450
warm,val,139,406,CID16231,combination,CID3385
warm,val,139,464,CID3385,combination,CID60795
warm,val,139,674,CID3385,combination,CID6100
warm,val,139,693,CID2471,combination,CID3385
warm,val,139,744,CID1546,combination,CID3385
warm,val,139,896,CID24360,combination,CID3385
warm,val,139,943,CID2662,combination,CID3385
warm,val,139,949,CID3385,combination,CID446156
warm,val,139,1002,CID3385,combination,CID5460033
warm,val,139,1123,CID3062316,combination,CID3385
warm,val,139,1153,CID3385,combination,CID71384
warm,val,139,1157,CID3019,combination,CID3385
warm,val,139,1183,CID3385,combination,CID46926350
warm,val,139,1217,CID31703,combination,CID3385
warm,val,139,1241,CID3385,combination,CID54611422
warm,val,139,1285,CID3385,combination,CID5462501
warm,val,139,1295,CID3385,combination,CID4261
warm,val,139,1319,CID176871,combination,CID3385
warm,val,139,1351,CID3385,combination,CID9894653
warm,val,139,1379,CID3331,combination,CID3385
warm,val,139,1409,CID3367,combination,CID3385
warm,val,139,1440,CID3385,combination,CID3415
warm,val,139,1442,CID3385,combination,CID446987
warm,val,139,1447,CID104741,combination,CID3385
warm,val,139,1465,CID3385,combination,CID356653
warm,val,139,1551,CID3385,combination,CID3446
warm,val,139,1555,CID10090485,combination,CID3385
warm,val,139,1562,CID3385,combination,CID5288382
warm,val,139,1726,CID3385,combination,CID3767
warm,val,139,1781,CID3385,combination,CID5278396
warm,val,139,1843,CID3385,combination,CID3878
warm,val,139,1859,CID3385,combination,CID5284583
warm,val,139,1901,CID157920,combination,CID3385
warm,val,139,1986,CID3385,combination,CID4011
warm,val,139,2022,CID3385,combination,CID4060
warm,val,139,2030,CID3385,combination,CID4075
warm,val,139,2046,CID3385,combination,CID8226
warm,val,139,2064,CID3385,combination,CID441314
warm,val,139,2082,CID3385,combination,CID4212
warm,val,139,2242,CID11327430,combination,CID3385
warm,val,139,2379,CID158781,combination,CID3385
warm,val,139,2480,CID3385,combination,CID51371303
warm,val,139,2533,CID3385,combination,CID5330286
warm,val,139,2562,CID3385,combination,CID4735
warm,val,139,2564,CID3385,combination,CID5849
warm,val,139,2610,CID3385,combination,CID4842
warm,val,139,2640,CID119570,combination,CID3385
warm,val,139,2673,CID3385,combination,CID6178111
warm,val,139,2690,CID1047,combination,CID3385
warm,val,139,2706,CID3385,combination,CID6239
warm,val,139,2772,CID135415564,combination,CID3385
warm,val,139,2781,CID3385,combination,CID5070
warm,val,139,2787,CID3385,combination,CID5073
warm,val,139,2816,CID129228,combination,CID3385
warm,val,139,2856,CID24866313,combination,CID3385
warm,val,139,2996,CID216239,combination,CID3385
warm,val,139,3003,CID3385,combination,CID5833
warm,val,139,3004,CID25249,combination,CID3385
warm,val,139,3156,CID3385,combination,CID6018
warm,val,139,3166,CID3385,combination,CID5426
warm,val,139,3190,CID3385,combination,CID5479
warm,val,139,3211,CID3385,combination,CID5504
warm,val,139,3237,CID3385,combination,CID5533
warm,val,139,3247,CID3385,combination,CID5799
warm,val,139,3248,CID3385,combination,CID5566
warm,val,139,3297,CID3385,combination,CID51042438
warm,val,139,3357,CID3385,combination,CID49846579
warm,val,139,3374,CID3385,combination,CID5311497
warm,val,139,3450,CID3385,combination,CID9914412
warm,val,140,1993,CID11347535,combination,CID144
warm,val,144,158,CID11598628,combination,CID169371
warm,val,145,2819,CID25126798,combination,CID92577
warm,val,150,336,CID9811704,combination,CID9930913
warm,val,150,422,CID2165,combination,CID9930913
warm,val,150,427,CID2170,combination,CID9930913
warm,val,150,457,CID135413536,combination,CID9930913
warm,val,150,915,CID10339178,combination,CID9930913
warm,val,150,919,CID121396,combination,CID9930913
warm,val,150,920,CID2576,combination,CID9930913
warm,val,150,981,CID6435415,combination,CID9930913
warm,val,150,989,CID156419,combination,CID9930913
warm,val,150,1000,CID6917698,combination,CID9930913
warm,val,150,1143,CID11876263,combination,CID9930913
warm,val,150,1173,CID3000518,combination,CID9930913
warm,val,150,1340,CID667484,combination,CID9930913
warm,val,150,1379,CID3331,combination,CID9930913
warm,val,150,1385,CID3342,combination,CID9930913
warm,val,150,1449,CID5323714,combination,CID9930913
warm,val,150,1561,CID123631,combination,CID9930913
warm,val,150,1640,CID3657,combination,CID9930913
warm,val,150,1726,CID3767,combination,CID9930913
warm,val,150,2010,CID4046,combination,CID9930913
warm,val,150,2065,CID51634,combination,CID9930913
warm,val,150,2260,CID5284592,combination,CID9930913
warm,val,150,2288,CID5311309,combination,CID9930913
warm,val,150,2327,CID4499,combination,CID9930913
warm,val,150,2328,CID41684,combination,CID9930913
warm,val,150,2379,CID158781,combination,CID9930913
warm,val,150,2551,CID10113978,combination,CID9930913
warm,val,150,2564,CID5849,combination,CID9930913
warm,val,150,2807,CID77999,combination,CID9930913
warm,val,150,2964,CID135398744,combination,CID9930913
warm,val,150,2985,CID517546,combination,CID9930913
warm,val,150,3003,CID5833,combination,CID9930913
warm,val,150,3211,CID5504,combination,CID9930913
warm,val,150,3250,CID5568,combination,CID9930913
warm,val,150,3348,CID5310966,combination,CID9930913
warm,val,150,3368,CID13342,combination,CID9930913
warm,val,150,3462,CID60490,combination,CID9930913
warm,val,152,396,CID6914657,combination,CID9852573
warm,val,152,537,CID11977753,combination,CID6914657
warm,val,152,1208,CID11524144,combination,CID6914657
warm,val,152,1245,CID4261,combination,CID6914657
warm,val,152,1997,CID4030,combination,CID6914657
warm,val,152,2309,CID4477,combination,CID6914657
warm,val,156,2479,CID11598628,combination,CID72271
warm,val,157,807,CID5351307,combination,CID73265377
warm,val,157,1666,CID5351307,combination,CID6851740
warm,val,157,1786,CID23635314,combination,CID5351307
warm,val,157,1810,CID5351307,combination,CID9823820
warm,val,157,2122,CID15558393,combination,CID5351307
warm,val,157,3370,CID5351307,combination,CID5978
warm,val,158,184,CID11598628,combination,CID24180125
warm,val,158,205,CID11598628,combination,CID9549184
warm,val,158,206,CID11598628,combination,CID16038374
warm,val,158,235,CID11598628,combination,CID56645356
warm,val,158,271,CID11598628,combination,CID24872560
warm,val,158,277,CID10377751,combination,CID11598628
warm,val,158,292,CID11598628,combination,CID9918559
warm,val,158,296,CID11598628,combination,CID16097523
warm,val,158,298,CID11598628,combination,CID11676786
warm,val,158,307,CID11598628,combination,CID56953649
warm,val,158,409,CID11598628,combination,CID2145
warm,val,158,418,CID11598628,combination,CID2161
warm,val,158,423,CID11598628,combination,CID50515
warm,val,158,424,CID11598628,combination,CID54260
warm,val,158,461,CID11598628,combination,CID2230
warm,val,158,474,CID11598628,combination,CID20525
warm,val,158,531,CID11598628,combination,CID188914
warm,val,158,545,CID11598628,combination,CID2747117
warm,val,158,552,CID11598628,combination,CID156422
warm,val,158,583,CID11598628,combination,CID53388144
warm,val,158,590,CID11598628,combination,CID25125014
warm,val,158,648,CID11598628,combination,CID2370
warm,val,158,678,CID11598628,combination,CID5052
warm,val,158,711,CID11598628,combination,CID24951314
warm,val,158,735,CID11598628,combination,CID46933992
warm,val,158,742,CID11598628,combination,CID3570748
warm,val,158,771,CID11598628,combination,CID15057856
warm,val,158,776,CID11598628,combination,CID44329754
warm,val,158,799,CID11598628,combination,CID73265294
warm,val,158,803,CID11598628,combination,CID73265309
warm,val,158,807,CID11598628,combination,CID73265377
warm,val,158,809,CID11598628,combination,CID73265408
warm,val,158,827,CID11598628,combination,CID68938909
warm,val,158,832,CID11598628,combination,CID35028115
warm,val,158,835,CID11598628,combination,CID44315352
warm,val,158,876,CID11598628,combination,CID25257557
warm,val,158,892,CID11598628,combination,CID9882793
warm,val,158,905,CID11598628,combination,CID60953
warm,val,158,984,CID11598628,combination,CID136257953
warm,val,158,989,CID11598628,combination,CID156419
warm,val,158,1086,CID11598628,combination,CID44543605
warm,val,158,1098,CID11598628,combination,CID216210
warm,val,158,1109,CID11598628,combination,CID15331
warm,val,158,1280,CID11598628,combination,CID3220
warm,val,158,1301,CID11598628,combination,CID5816
warm,val,158,1412,CID11598628,combination,CID3373
warm,val,158,1417,CID11598628,combination,CID6215
warm,val,158,1450,CID11598628,combination,CID3440
warm,val,158,1451,CID11598628,combination,CID253078
warm,val,158,1454,CID11598628,combination,CID24788740
warm,val,158,1501,CID11548023,combination,CID11598628
warm,val,158,1590,CID11598628,combination,CID3503
warm,val,158,1666,CID11598628,combination,CID6851740
warm,val,158,1667,CID11598628,combination,CID44135961
warm,val,158,1689,CID11598628,combination,CID3690
warm,val,158,1707,CID11598628,combination,CID3715
warm,val,158,1782,CID11598628,combination,CID15953870
warm,val,158,1818,CID11598628,combination,CID46843906
warm,val,158,1826,CID11598628,combination,CID46213929
warm,val,158,1861,CID11598628,combination,CID149096
warm,val,158,1865,CID11351021,combination,CID11598628
warm,val,158,1911,CID11598628,combination,CID3994
warm,val,158,1937,CID11326715,combination,CID11598628
warm,val,158,1955,CID11598628,combination,CID49852229
warm,val,158,1986,CID11598628,combination,CID4011
warm,val,158,2054,CID11598628,combination,CID4173
warm,val,158,2105,CID11598628,combination,CID4810
warm,val,158,2133,CID11598628,combination,CID73265336
warm,val,158,2139,CID11598628,combination,CID57519508
warm,val,158,2154,CID11598628,combination,CID73265234
warm,val,158,2157,CID11598628,combination,CID73265397
warm,val,158,2160,CID11598628,combination,CID44341259
warm,val,158,2162,CID11598628,combination,CID147912
warm,val,158,2172,CID11598628,combination,CID57519555
warm,val,158,2187,CID11598628,combination,CID57519526
warm,val,158,2190,CID11598628,combination,CID73265209
warm,val,158,2201,CID11598628,combination,CID73265390
warm,val,158,2210,CID11598628,combination,CID73265321
warm,val,158,2245,CID11598628,combination,CID9825149
warm,val,158,2342,CID11598628,combination,CID4539
warm,val,158,2415,CID11598628,combination,CID40854
warm,val,158,2421,CID11598628,combination,CID4636
warm,val,158,2437,CID11598628,combination,CID135421197
warm,val,158,2468,CID11598628,combination,CID25033539
warm,val,158,2592,CID11598628,combination,CID72435
warm,val,158,2648,CID11598628,combination,CID4891
warm,val,158,2744,CID11598628,combination,CID208902
warm,val,158,2754,CID11598628,combination,CID65981
warm,val,158,2782,CID11598628,combination,CID5071
warm,val,158,2798,CID11598628,combination,CID5090
warm,val,158,2848,CID11598628,combination,CID9858940
warm,val,158,2871,CID11598628,combination,CID11717641
warm,val,158,2874,CID11598628,combination,CID57441923
warm,val,158,2934,CID11598628,combination,CID56208
warm,val,158,2952,CID10126189,combination,CID11598628
warm,val,158,2971,CID11598628,combination,CID5459308
warm,val,158,3053,CID11598628,combination,CID16038120
warm,val,158,3084,CID11598628,combination,CID15547703
warm,val,158,3120,CID11598628,combination,CID164676
warm,val,158,3136,CID11598628,combination,CID25253377
warm,val,158,3166,CID11598628,combination,CID5426
warm,val,158,3261,CID11598628,combination,CID5591
warm,val,158,3316,CID10461508,combination,CID11598628
warm,val,158,3350,CID11598628,combination,CID42642648
warm,val,158,3366,CID11598628,combination,CID9820008
warm,val,158,3398,CID11598628,combination,CID57519544
warm,val,158,3434,CID11598628,combination,CID5709
warm,val,160,2819,CID147569,combination,CID25126798
warm,val,162,2910,CID57353643,combination,CID57519510
warm,val,164,1992,CID11347535,combination,CID11399764
warm,val,175,807,CID46239014,combination,CID73265377
warm,val,175,2144,CID46239014,combination,CID73265328
warm,val,175,2362,CID11640390,combination,CID46239014
warm,val,175,2819,CID25126798,combination,CID46239014
warm,val,176,2819,CID25126798,combination,CID656665
warm,val,178,358,CID16070111,combination,CID449171
warm,val,178,1850,CID449171,combination,CID46188928
warm,val,178,2437,CID135421197,combination,CID449171
warm,val,178,3074,CID449171,combination,CID73602827
warm,val,183,2539,CID5284330,combination,CID6918837
warm,val,191,785,CID24866313,combination,CID73265233
warm,val,191,2514,CID24826799,combination,CID24866313
warm,val,193,1645,CID24821094,combination,CID42623900
warm,val,197,1992,CID11347535,combination,CID6539952
warm,val,197,2539,CID6539952,combination,CID6918837
warm,val,202,709,CID11556711,combination,CID118958122
warm,val,202,1997,CID118958122,combination,CID4030
warm,val,202,2769,CID118958122,combination,CID44631912
warm,val,202,3468,CID118958122,combination,CID5311
warm,val,206,3138,CID16038374,combination,CID5394
warm,val,210,2539,CID42636535,combination,CID6918837
warm,val,211,343,CID1986,combination,CID54684141
warm,val,211,350,CID5284513,combination,CID54684141
warm,val,211,457,CID135413536,combination,CID54684141
warm,val,211,468,CID54684141,combination,CID68911
warm,val,211,486,CID54684141,combination,CID74989
warm,val,211,600,CID2284,combination,CID54684141
warm,val,211,668,CID387447,combination,CID54684141
warm,val,211,694,CID16654980,combination,CID54684141
warm,val,211,697,CID2477,combination,CID54684141
warm,val,211,908,CID54684141,combination,CID5831
warm,val,211,915,CID10339178,combination,CID54684141
warm,val,211,1004,CID2771,combination,CID54684141
warm,val,211,1077,CID54684141,combination,CID6234
warm,val,211,1090,CID1461,combination,CID54684141
warm,val,211,1111,CID54684141,combination,CID6914273
warm,val,211,1149,CID33036,combination,CID54684141
